,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income form 10 to 40,household income form 40 to 75,household income 75 and above,house value for 20 to 100,house value for 100 to 500,house value 500 or more,rent bewteen 300 and 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Illegal Tree Damage,-1.155884255765554e-08,1.0581286927349893e-08,7.0786153806280421e-09,1.5723088161515756e-08,9.3597013093156285e-09,1.6743792864349116e-09,5.0459703392649284e-09,2.5214085323217472e-09,1.1037889997950945e-08,1.5665677071131004e-08,1.1192173909296113e-08,3.7530612227916708e-09,3.3308850379960606e-08,3.7481963224084713e-08,-2.7185251620999928e-07,3.5683168273826366e-08,4.6015927674124369e-09,-5.5373511467412841e-08,1.068712682515219e-07,-4.9963125605112852e-09,3.1066822131298535e-06,-1.6301275306757419e-08,5.5007523525813829e-08,1.5545178624791571e-08,1.4245112235740148e-07,3.0104249307636893e-08,4.5925593352964886e-08,-4.1802201362566844e-09,2.8091505830592854e-08,2.5609028664790206e-08,3.7317259734755066e-08,,,,,,,,,,,3.0327968831509092e-08,3.5467823455406362e-07,-9.2384258968494193e-07,1.3707744376926633e-06,,,,,,,,,,,,,,,,
Indoor Air Quality,-5.0437771630305163e-08,1.078557735573129e-07,-4.4321689800971562e-08,7.0910295532612467e-08,,,,,,-1.1155485849015638e-08,8.4806426045975951e-08,-2.094101701698272e-08,1.3505399532068934e-07,-2.4690655437983901e-08,-3.7686703461648815e-07,,,-1.7854134031416362e-07,2.0756146399098212e-07,1.6969490232504613e-08,-2.4480863081936116e-08,,,,,,,3.3640492852294915e-08,2.8648543337780213e-08,1.0678892145795314e-07,1.3158391483028269e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor Sewage,1.0183115763309752e-08,4.9233119763011686e-09,-7.2610614275417111e-10,-1.1453684940913834e-09,2.1285394103022731e-09,6.5242617885433509e-09,1.9379099481782711e-10,3.0108397264680696e-09,9.7306970631597369e-10,1.4917605675612277e-08,-1.2212708829100305e-09,1.681719692511843e-08,-4.4846232974934682e-09,1.976726565758521e-08,-4.4363972901326803e-08,7.1222596531284236e-09,8.3466133541605682e-09,-6.685880868884631e-08,9.2234142898517664e-08,8.7430527302483352e-09,-1.0089303179686952e-06,1.7967653874433888e-08,1.4777660751076225e-08,-1.8309867012105154e-09,7.4933302363281152e-08,3.0825037538531109e-08,6.347978155237058e-09,1.7932808479360996e-08,1.1133515008139229e-08,-2.9260943364779606e-09,9.0443974839429163e-10,,,,-7.6802666140290714e-09,6.9675815646372469e-09,-5.7161045793002154e-09,1.3918837702793164e-08,1.1683371536145355e-08,,,1.6075697778281795e-08,1.2803222633552901e-07,-3.6705344355521691e-07,6.7898108905135856e-07,,,,-3.8607469471021539e-08,9.8618046528170648e-08,-1.8774122341034999e-06,2.3506360394604858e-08,-1.7851075707714361e-08,-3.9219721633448524e-09,,,,3.6079129576710152e-09,4.3634282857597979e-09,-1.1774151452401876e-08,-3.5819066440890455e-08
Industrial Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigations and Discipline (IAD),1.5026251596508501e-09,3.1202658572921856e-09,-2.1585305639817848e-09,4.5985750109048764e-09,1.4395517820623837e-09,6.3732381984603241e-10,-2.79935808252238e-10,7.3878408128368627e-10,4.2447781899608114e-09,2.9952177953440047e-09,1.4932328554935307e-09,2.3362502753481886e-09,2.7165443924775343e-09,6.0394638064942241e-09,-3.0113642998813581e-08,4.0323476831295705e-09,1.640490178750616e-09,-1.2635640846046876e-08,2.123943492820495e-08,-3.3035924786388228e-10,3.9642561763501631e-07,4.7942597428956483e-09,2.9627466808626324e-10,2.2936293721815614e-09,6.272571916728038e-08,3.9772267652067926e-09,4.8366836178386121e-09,2.456581494609531e-09,3.638234898849494e-09,2.7668642050254827e-09,5.9641547845798523e-09,-1.6819438815613664e-08,1.9766837745299882e-08,-2.3029384174026678e-08,-1.2101230884519657e-09,4.2542386432261034e-09,1.8917380398530839e-09,3.3106238630923958e-09,-3.5070195426258572e-08,4.8472758019727916e-09,-6.3396970539915131e-09,1.1365744910090085e-08,-2.5630148287807693e-10,-3.432378373043021e-08,1.253744881053562e-07,,,,-3.5720337387635997e-09,2.0477697331481142e-08,-3.4188112664889081e-07,-1.2480195328955472e-09,9.2454749017253253e-09,-3.2566291030541881e-09,2.325362367058226e-10,4.6754606878439805e-09,-3.796751928020761e-09,-8.2139090046243506e-09,7.8353278068667263e-09,-7.1226188747526465e-09,-2.0918756793829827e-08
Lead,-1.4873089328343951e-08,1.5372140998734535e-08,5.3707736539959991e-09,8.8361029327814127e-09,9.0894858767661648e-09,2.3952268812418384e-09,8.1497493940017899e-10,1.7382272118280907e-09,5.3914779024604415e-09,6.4936208946631168e-09,1.8595928865899127e-08,1.9399226663708147e-09,-4.5422606211661148e-10,8.2175521905323019e-08,-1.7632406610325383e-07,2.0057806735206256e-08,8.5528564638629336e-09,-7.567107818162698e-08,9.8719390085354541e-08,8.0790641740716991e-09,1.6320310682493435e-06,3.6345586178123583e-09,4.8307971639782202e-09,2.475604526241555e-08,3.7524309990125222e-08,5.4962836638860053e-09,5.6412989601980932e-08,-2.6670975657770975e-09,2.0915145103062438e-08,3.4128177065098909e-08,1.9466608344967484e-08,-7.1633622220621692e-08,1.1842293144227057e-07,-2.0271084184850173e-07,-7.0875241366438422e-09,2.6984645099744792e-08,2.8317069900520782e-08,1.5402144307213001e-08,-2.8033973066640021e-07,1.9406616013525663e-08,-2.5375659252451224e-08,5.5378219931307393e-08,4.7588466841806739e-08,-3.2936886009390603e-07,1.0648210073161157e-06,,,,-5.4431907483870364e-08,1.5610592472664259e-07,-1.0665373484190069e-06,-4.1231836357633757e-08,9.973211313008275e-08,-2.2070908046996908e-08,2.5579482087833361e-08,1.4031750768270863e-08,-1.3746535158922449e-08,-2.4303527782715193e-08,2.7735250765301643e-08,-3.0490612073509099e-08,-1.5021914249296173e-07
Legal Services Provider Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifeguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Literature Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litter Basket / Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance or Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missed Collection (All Materials),5.0315107169906645e-08,-1.955898238249479e-07,2.1500212399439284e-07,5.9515520338597994e-08,8.9424153610075897e-08,5.0480255391217908e-08,5.6395006572517005e-08,-2.5605833610963162e-09,-1.4926352014285651e-08,2.8359432415431625e-07,-9.5131707236077099e-08,2.0385261387219612e-07,-4.8131268396424914e-08,6.4070451332086331e-07,-2.1700664545215113e-06,5.371065224544938e-07,-5.961387809571303e-08,-8.6795017437726422e-07,1.749930991572809e-06,-1.3456766796758469e-07,1.9079510223185545e-05,-2.9714080420450687e-07,8.0134211432353455e-07,6.0157151488218944e-08,-4.8626587544647095e-07,7.4177767651090121e-07,2.7123396439192501e-07,,,,3.0096793472981311e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mold,-3.8087877588574113e-10,-1.1475424990745157e-09,1.1310800510227807e-09,8.6088515636037174e-09,2.3663350030302508e-09,9.082874677270645e-10,1.1730658468092937e-10,4.5433150502252351e-10,-1.2188030864315452e-09,,,2.830809060630456e-09,2.3841096026271941e-09,1.4220158956068979e-08,-6.3875360474161265e-08,1.0486911827682865e-08,-1.976700557019013e-10,-2.7954389622337789e-08,4.9038917875026403e-08,-3.5439536485038278e-09,3.051391715819902e-07,,,,2.6539500607959795e-08,1.2303362781239512e-08,7.0324827586362765e-09,,,,1.3022879798459973e-08,-2.7613249522292976e-08,2.3918494783148983e-08,-1.1053334896320822e-08,1.9093931434557849e-09,3.8510534769019696e-09,-6.5299265729799395e-10,3.9183837698619464e-09,-6.9871316024013926e-08,4.4093678374831747e-09,-5.0687468729957105e-09,7.9637567736092522e-09,-1.9151917586567975e-09,-6.0244459650439212e-09,7.652862391458829e-09,,6.9090208304375525e-09,-3.4362025356520615e-09,1.4634534503529671e-08,-9.6112855334433249e-09,1.3028357610294989e-07,-2.1760176434150407e-09,8.9248603021298501e-09,-2.3094690744702715e-09,-3.592772766630635e-08,9.9298333694116932e-09,-3.5990161759022707e-09,-6.632443276242736e-09,6.6728283780714514e-09,-5.1332882176438315e-09,-1.9905857622404892e-08
Municipal Parking Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONCONST,8.481918558476412e-08,5.5644737737418022e-08,-1.3958011964303742e-08,-6.9851882854098715e-08,7.7610792413558919e-09,3.2982154076295725e-08,-1.3703227188086903e-08,4.1329354067085234e-08,-2.1030965939525276e-08,8.8219307054133207e-08,-2.2711240180408682e-09,1.1713913051612086e-07,-1.7592332816607977e-08,-2.1784803858739544e-09,1.6717384659834133e-07,-3.7815034400337347e-08,8.6808162390930002e-08,-2.1157915541841982e-07,2.4862312275442896e-07,9.4759045835212933e-08,-1.0981807123379212e-05,2.5621010945486814e-07,-6.6124740193072519e-08,-2.725363115696237e-08,5.549522126802627e-07,1.1786212329508266e-07,3.865805564129664e-08,1.3432430474602831e-07,8.1783601500739973e-08,-5.9358340097584453e-08,-5.5265554031537846e-08,,,,-3.7551178745695454e-08,4.2292564878583641e-08,-3.7383292475083064e-08,2.1544486000114374e-07,-1.3143277306068894e-06,,,,,,,,,,-3.7971403261500449e-07,8.8487901775186964e-07,-1.7381300859548153e-05,3.2390844359834541e-07,-3.5736798948870263e-07,-9.9322121579299521e-09,,,,,,,-2.3772259995522356e-07
New Tree Request,2.871243889659323e-09,2.1781213629138896e-08,4.9292782111458683e-08,1.0662458990841574e-07,6.9469828869548523e-08,3.6448671250973681e-08,4.5817221574153846e-08,6.18587610612046e-09,6.171494582506121e-09,1.6912351590431468e-07,1.2895585004272443e-08,8.979726804060791e-08,9.6658973406802634e-08,5.1039733501460792e-07,-2.3933093287480605e-06,2.6422944638162866e-07,3.2755556614915416e-08,-3.7569527653255193e-07,7.3592462484240135e-07,1.5288331695498873e-08,1.4045906662802485e-05,-1.0718342532099781e-07,5.3614158446871469e-07,2.9538272897721947e-08,2.9680352628141557e-07,2.1156674498177392e-07,4.0331072429299363e-07,-3.4514160092892395e-08,2.5952672480145815e-07,5.1233865790754431e-08,1.0032911236041425e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise,-8.9257711327804664e-07,1.2395383097979833e-06,-3.1696383509078816e-07,6.3713308962887588e-07,2.645609715512967e-07,1.6403526421428882e-08,3.7228998019800045e-08,2.5496698722566971e-08,2.8347947355129001e-07,-3.1682022909586887e-07,1.1657674267110913e-06,-5.8470575145322466e-07,1.6374241469879294e-06,7.0863435968612601e-07,-7.9015242947868029e-06,2.8687522698746877e-07,3.6031973480925737e-07,-3.4637159076209461e-06,4.21455610763367e-06,-1.3394233333943505e-07,4.8052564759259046e-05,1.3919986630496165e-06,-2.8563644993101457e-06,1.4742538156513851e-06,1.9974718607413325e-06,-3.3439735512594482e-07,1.7399995011339901e-06,2.6918892099332829e-07,-6.3730376513810043e-09,2.0867243043068317e-06,2.4924249196192407e-06,-3.4962081263992276e-07,2.630520198782391e-06,-6.8411070830062003e-06,-1.949176431403932e-07,3.0793529358778185e-07,5.7758864338443212e-07,4.126083240788622e-07,-2.1805753318538201e-06,2.7925096645103565e-07,-2.2185615896958849e-07,2.3174030187153927e-07,8.9664070586537606e-06,-2.1480053731326288e-05,3.0687141654751567e-05,,-2.7640068082988957e-07,3.1869583812163833e-07,-9.6239319402985809e-07,2.5581282464963015e-06,2.2609472657307207e-05,-9.5014832286882623e-07,2.1835641288605813e-06,-4.0104300072384585e-07,2.6632877668160064e-06,-3.5008144424813001e-08,-1.4141260312065525e-07,8.2382648717847503e-07,-1.5822285348072163e-07,-2.8727490525093299e-07,-3.2029572350244416e-06
Noise - Commercial,-4.9373460278536099e-07,9.2149390475313172e-07,-1.5896065558985006e-07,-6.1994980894917044e-08,1.2874876159510194e-07,1.7153859830804161e-08,-1.9541790089458627e-08,1.1166454996024942e-07,2.1858890185452849e-07,-8.880248967290005e-08,6.3746582754496179e-07,-2.0631956621899362e-07,1.336084806727345e-06,-7.0076614503576103e-07,-3.004571780100418e-06,-1.010231816230624e-07,3.7716717024702915e-07,-1.3720251821815622e-06,1.5252696112803592e-06,1.1751766831357401e-07,3.5755513062218923e-05,8.2750661146855498e-07,-8.81207380012365e-07,4.8685223345327464e-07,,,,3.5279665267386639e-07,1.768466477966376e-07,7.7081224523453617e-07,9.3345611041488856e-07,,,,-3.3337895398720102e-07,-2.7345121345046587e-08,6.5322371058576382e-07,8.277118366332289e-07,-3.3511387601710862e-06,,,4.007457246430008e-08,1.0164532371805441e-05,-2.4691877669951518e-05,3.6474257965104305e-05,,,,-1.4038428117001299e-06,2.9728177796837139e-06,6.5903783024403884e-07,,,,,,,,,,-2.4811109257782755e-06
Noise - Helicopter,-3.6250680918256998e-08,1.7323701344542871e-08,1.3341696072302978e-08,7.1835688185972873e-09,9.9700138991875006e-09,-1.5898023867427209e-11,-6.5032417493926945e-09,3.2091674920042691e-09,1.0583892550574672e-08,-7.1137792317837582e-09,3.1010611601303876e-08,-4.8890987094500207e-09,-2.510004564390158e-09,7.3281650967029096e-08,-8.7455639307346593e-08,,,-8.5820743353688089e-08,9.1264640399105164e-08,9.352145312180792e-09,-4.9540092554834544e-07,7.0636857270490955e-08,-1.2443943545142625e-07,4.5701854556347182e-08,7.4628460373503743e-08,-2.43528089222931e-08,6.1690294774037964e-08,2.0475269971117745e-08,-4.3240548920631926e-09,5.0277630629613913e-08,4.1423507746939612e-08,,,,1.6124100096150943e-10,3.5007466847713704e-08,-4.763136087545539e-08,4.6376728119747369e-08,-3.8002002938677423e-07,2.4825861456075618e-08,-3.273749485934814e-08,8.8206182962979027e-08,-1.2485312344486521e-07,-3.7209366336837557e-08,9.7621662506511939e-07,,,,-5.4122119987268273e-08,1.7492068787215582e-07,-1.0455824398839057e-06,-6.1544771956442078e-08,1.3820434095018052e-07,-2.844746143805739e-08,1.9527363834012308e-07,7.8249489490740458e-09,-2.8799926256186428e-08,1.3525172431728785e-08,1.0953564888699408e-08,-3.5986327656424902e-08,-1.9431098050363793e-07
Noise - House of Worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Residential,8.7778689964966728e-07,1.4689634743661136e-06,2.9234382882107673e-08,-1.5206479639736103e-06,1.696577676313486e-07,4.532329650993738e-07,-1.8014194213580752e-07,9.049781999139003e-07,8.2947255877107213e-07,1.7207462003471715e-06,1.7883423901607776e-07,1.9982696707827574e-06,8.7375975165704082e-07,-1.0232680829860485e-06,1.086477156844537e-06,-3.5498811542330871e-07,1.6765597169799449e-06,-1.7687718195913288e-06,2.5163203067966732e-06,1.6109596586559325e-06,-0.00010079336801293079,4.4489626500030755e-06,-5.5500125216079149e-07,-2.9040261836349278e-07,1.1720720826436183e-05,2.7728316669946389e-06,9.2324972700867211e-07,2.9039181811777766e-06,1.4506878736966453e-06,-6.2707925629075182e-07,-7.2139890802493331e-07,,,,-1.595204063036767e-06,3.7674502972344491e-07,-1.337573683465246e-07,4.4748277315846558e-06,-1.2865838543782987e-05,,,3.0627274975697114e-06,2.2896110576310578e-05,-6.9038502803916624e-05,0.00013877594410202391,,,,-7.2891151218016196e-06,1.7713386347925401e-05,-0.00030635694268876383,5.3538613470911045e-06,-4.9648018098571215e-06,-5.8686063235352949e-07,2.0446140943338852e-05,-5.3212462719295382e-07,-1.9510929484042008e-06,3.0019421967463861e-06,-5.9040641984140535e-07,-2.0358989599711381e-06,-7.315797168650037e-06
Noise - Street/Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Emergency Police Matter,,,,,,,,,,,,,,,,,,-2.285612806476274e-07,3.9456134967856082e-07,-1.3539890033763766e-09,3.3546506230106874e-06,,,,,,,,,,6.6888499920487903e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Residential Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.092389154897157e-08,2.2221061357865339e-09,-5.8556041334942081e-09,-3.6024684262313011e-09,-2.3055158178085945e-08,-1.6637642817701071e-08,2.7171596249930607e-08,1.9660648954804515e-07,-7.0911812962346973e-10,1.0675783096365413e-08,-1.8792531387945783e-10,-3.3405617369209262e-09,5.6722475309157231e-08,-1.0374791726061507e-07,,-7.4973278222987672e-10,7.6754135352794255e-09,-8.940110280407767e-09,3.7765445910656213e-08,-3.0678095295448542e-06,7.314316596606495e-08,-1.0664785892897356e-07,1.3569570370404603e-08,1.39870168584542e-08,3.359965043107575e-09,3.3240286764598556e-09,-2.1875369790122886e-08,1.4319477161053171e-08,1.0887557313794134e-08,1.0339158132710906e-07
OUTSIDE BUILDING,7.5125291503982697e-09,6.4259201424242384e-09,2.0384729451269119e-09,-8.3967325137604752e-09,2.1288797968067616e-09,4.6251578912376525e-09,-1.3978583872732556e-09,5.5760065748685194e-09,-1.511412719114804e-09,1.3769297991634812e-08,4.6131780042008294e-10,1.59342352789096e-08,1.0150870335531732e-09,2.6219816818469881e-09,5.5661466083090148e-09,1.8579162697035836e-09,1.0694519507134254e-08,-2.5063074209846726e-08,3.5796075111934285e-08,1.1872110988212998e-08,-1.4706975405165611e-06,2.1093242075866485e-08,1.3176592087773616e-08,-3.0816435817026019e-09,9.0028954200321873e-08,2.3088524565538021e-08,9.0059025945964791e-09,1.5029630865426735e-08,1.4669780808280961e-08,-4.9739058325672961e-09,-3.2066312119520556e-09,,,,-8.0241615154787163e-09,4.5367982814446512e-09,1.2042994822146866e-09,3.4328612988717285e-08,-1.9330977065667912e-07,,,2.1486199546661153e-08,1.6261925311182307e-07,-4.9048558305976496e-07,9.9172750189424856e-07,,,,-6.2638859314173296e-08,1.439769891929849e-07,-2.5416764938888132e-06,4.0974412017741362e-08,-4.0327220333139625e-08,-3.4204571889660491e-09,,,,,,,-4.7837448481989557e-08
Open Flame Permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Enforcement,-2.4900035600885036e-08,2.9603592588970497e-08,1.9069662903215163e-08,1.2724241198428968e-08,1.9315334502042518e-08,6.5479066688721763e-09,1.2047976591167715e-08,3.8841750376463675e-09,4.7940962118936945e-08,3.2322297910307898e-08,3.0806331773738618e-08,1.3297740105459256e-08,6.1219867746078381e-08,9.3372735916391952e-08,-5.4336546068083907e-07,6.5724971373704652e-08,1.7788179388218693e-08,-7.057544967984329e-08,1.5339032998694707e-07,-2.9770635064182105e-09,4.5816737566412723e-06,3.2142406942940272e-08,8.0505347085675523e-09,5.3060737639350157e-08,7.8199033809203064e-08,7.3950601766427472e-08,1.1023408462319731e-07,9.25777629169924e-09,4.9494885330668236e-08,7.4995924665759976e-08,9.4997356321967819e-08,-1.828578962251025e-07,3.1138744052862835e-07,-5.3592845298111848e-07,-2.9068200014521914e-08,4.5519113579348181e-08,1.2544222582261366e-07,2.1294878110694667e-08,-3.9496861856493118e-07,4.809676603419854e-08,-5.8925383455193156e-08,6.0820396683438584e-08,6.8722005232646996e-07,-1.7529728367981591e-06,2.5097684668926214e-06,,1.0464961794566063e-08,1.9445114443699606e-09,-6.0951463156594408e-08,2.436170963244473e-07,-1.4453024896887051e-06,-4.7878499070869034e-08,1.610938774888363e-07,-4.2909982391324979e-08,-9.3462249033677537e-08,5.4094816333290858e-08,-2.9098712640708002e-08,-6.2707714028395988e-08,6.9581107870951553e-08,-6.7079448833216449e-08,-2.8431238218923351e-07
Overflowing Litter Baskets,-4.8646580539729289e-09,2.5383610494573648e-09,6.3028648902248049e-09,2.5989565518660603e-09,4.139094816030768e-09,2.1813539322903118e-09,8.7835700971198457e-10,1.1263881550989875e-09,4.4914274513639589e-09,6.6320238040970268e-09,6.3518104747259319e-09,4.5004349146452611e-09,9.6970350706567591e-09,1.2867872466695783e-08,-5.8707120050562026e-08,1.5539742148016009e-08,2.799408078531922e-09,-4.4702140039759949e-08,7.1596363994407331e-08,-1.8147884288687974e-09,1.0422416888261442e-06,5.5621009464351927e-10,1.106908859002397e-08,9.6878573940327038e-09,1.2454529782954117e-08,2.2227998567066064e-08,1.8418360090853759e-08,,,,1.9707401742421408e-08,,,,,,,,,,,2.1884206328259819e-08,1.1908591133012379e-07,-3.5300080991909175e-07,6.4226484136352401e-07,,,,,,,,,,,,,,,,
Overflowing Recycling Baskets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overgrown Tree/Branches,4.826115366926561e-08,-2.3346149652307795e-07,2.2756786230885682e-07,5.8797362245179748e-09,5.2196020179916263e-08,4.6706165044826589e-08,4.4452929121082779e-08,-7.1653811186096669e-09,9.4207802977550522e-08,2.5695778193984541e-07,-1.4092012287334691e-07,1.904929328805123e-07,-8.8186100478668878e-08,4.7250586371818782e-07,-1.5021186120448438e-06,4.3034997746980794e-07,-6.4874482724726714e-08,-5.4608752224742595e-07,1.184527503794426e-06,-5.7400254330166864e-08,6.0251414373289855e-06,-4.727645417927813e-07,1.0886957336224853e-06,-6.5715768987647957e-08,-3.4383028987710486e-07,6.0015007724952463e-07,1.5809047594842214e-07,-9.7691956807524761e-08,2.6327677869163117e-07,-6.0892100261255102e-08,4.9270057055728705e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAINT - PLASTER,1.3612445217996907e-07,7.946187079444973e-08,-2.0090350945561774e-08,-1.3557347543936506e-07,8.1457300297905315e-09,4.5378221341458091e-08,-2.6793961917501449e-08,6.5399534362597845e-08,-6.1368043423820249e-08,1.2759081982464221e-07,-1.315514173902811e-08,1.7064338392732814e-07,-4.2446142823205951e-08,-6.6388850250314553e-09,3.0643577412622332e-07,-8.1339248795785453e-08,1.2961733859855027e-07,-2.713703331650914e-07,3.0823803576322537e-07,1.3529536782396552e-07,-1.3525313444551439e-05,4.4878855281179746e-07,-2.1910767846580438e-07,-3.77202326655681e-08,,,,1.8856599096245335e-07,1.2103030098211029e-07,-1.1156077606998764e-07,-1.0514607597608355e-07,,,,-3.7159451555893129e-08,6.3244172202822035e-08,-1.0545415731957756e-07,3.5808441461705933e-07,-2.4224792330896758e-06,,,,,,,,,,,,,,,,,,,,,,
PAINT/PLASTER,5.9013245964578319e-07,3.6853048068050386e-07,-4.5017650891003487e-08,-5.8476439915220539e-07,4.0985518573900019e-08,2.0039784449829377e-07,-1.1533398079406925e-07,3.5728135245928558e-07,-2.7711694433964101e-07,6.3761641287297468e-07,-3.7524054206989822e-08,8.5706847049144597e-07,-1.3816186508412594e-07,-2.2565975481465959e-07,2.1946645462278454e-06,-3.99255204881465e-07,6.6969655852286341e-07,-1.1171917931416249e-07,3.6929064633183273e-08,7.1993561340247564e-07,-8.1725233721123422e-05,1.9532715901084144e-06,-5.0512109923536814e-07,-2.7623638943593574e-07,,,,8.7466880904522383e-07,7.0894226128915173e-07,-5.8852201851410071e-07,-5.7198404752557212e-07,,,,-2.8307599073831783e-07,1.7016278357069874e-07,-2.5346062339087969e-07,1.9711940781981483e-06,-1.2388265816569452e-05,,,,,,,,,,-3.0050165186493215e-06,6.8723698318216253e-06,-0.00014181832600850328,3.0032029115284473e-06,-3.5657345133829222e-06,1.3876151044850146e-08,9.7290523947122527e-06,-5.7592049179083948e-07,-6.5032506686729336e-07,,,,-1.4709112199228893e-06
PLUMBING,6.1756775540395981e-07,3.6298433621877918e-07,-6.962782205571286e-08,-5.4812140553302293e-07,4.3892198931665704e-08,2.3201553147442148e-07,-1.0638881099810364e-07,3.1509740179127283e-07,-2.0540092921014962e-07,6.2523616040804017e-07,-2.2306823348271105e-08,8.5150767131723163e-07,-1.7112916575617952e-07,-7.2824141546165626e-08,1.7079890705177628e-06,-3.3143934072213423e-07,6.4019159640570807e-07,-1.0079942366146014e-06,1.1631972853893052e-06,6.7374606222247142e-07,-7.4961410517263171e-05,2.0027623990236824e-06,-6.9015236460981308e-07,-2.078012638386528e-07,4.7130157003497605e-06,7.6224983521194228e-07,2.065189790282018e-07,9.8256928594261806e-07,5.9341957259027668e-07,-5.0023428854680304e-07,-4.4516123721082791e-07,,,,-2.8829907304616021e-07,2.2550178947710926e-07,-3.1902124670524257e-07,1.7262735942820645e-06,-1.0110776753120452e-05,,,,,,,,,,-2.856521893734155e-06,6.5326328484485832e-06,-0.0001296022453330548,2.7674746696738118e-06,-3.2379877828030119e-06,-7.0680653897682243e-09,8.4199079406559678e-06,-4.4158553367141016e-07,-6.1009702544360703e-07,,,,-1.5860570387745565e-06
Panhandling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1105926434174061e-09,-1.0700672449361974e-08,2.4397186481356849e-08,8.9011350709601419e-10,-1.816156207197938e-09,-1.2251173999493e-08,3.4780680627055244e-09,3.7231271457175453e-08,-3.8129783782386008e-10,1.5470159317032775e-09,1.5438170348795802e-09,-5.6848524047095828e-09,5.5529854412634239e-09,4.4274815953578954e-08,,-5.0630092129194255e-10,1.0693393209891145e-09,-4.070977415416438e-09,9.9184740407272255e-09,-5.0606974779764697e-07,7.3477225048526814e-09,-1.0731153462648702e-08,1.3838874500454241e-09,2.4685954786457987e-09,-7.0041916135082929e-11,6.0494222920563787e-10,-3.9577927318397748e-09,2.322214093424889e-09,1.1967789476698171e-09,1.3385445467604823e-08
Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
